Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
maximizeWindow(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:28,15-05-2026 22:55:28,0.056s,PASSED
registerHelper = new authentication.Register_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:28,15-05-2026 22:55:28,0.005s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:28,15-05-2026 22:55:30,1.830s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:30,15-05-2026 22:55:30,0.304s,PASSED
,,,,,,,
Test Cases/Authentication/Register/TC_AUTH_024_Register_Page_Elements,Edge Chromium 148.0.3967.54,Verify that all required UI elements are present on the Register page,"ui-validation,authentication,register",15-05-2026 22:55:30,15-05-2026 22:55:37,6.397s,PASSED
"openBrowser("""")",Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:30,15-05-2026 22:55:31,0.867s,PASSED
maximizeWindow(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:31,15-05-2026 22:55:31,0.055s,PASSED
registerHelper = new authentication.Register_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:31,15-05-2026 22:55:31,0.003s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:31,15-05-2026 22:55:36,4.220s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:36,15-05-2026 22:55:37,1.138s,PASSED
,,,,,,,
Test Cases/Authentication/Register/TC_AUTH_023_Register_Maximum_Password_Length,Edge Chromium 148.0.3967.54,Verify that password with 128 characters (maximum valid length) is handled correctly during registration,"boundary,input-validation,authentication,register",15-05-2026 22:55:37,15-05-2026 22:56:05,28.500s,FAILED
"openBrowser("""")",Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:37,15-05-2026 22:55:38,0.840s,PASSED
maximizeWindow(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:38,15-05-2026 22:55:38,0.068s,PASSED
registerHelper = new authentication.Register_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:38,15-05-2026 22:55:38,0.004s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 22:55:38,15-05-2026 22:56:03,25.329s,FAILED
catch (Exception e),Edge Chromium 148.0.3967.54,,,15-05-2026 22:56:03,15-05-2026 22:56:03,0.037s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 22:56:03,15-05-2026 22:56:05,2.036s,PASSED
,,,,,,,
