Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
maximizeWindow(),Edge Chromium 148.0.3967.54,,,15-05-2026 23:21:02,15-05-2026 23:21:02,0.041s,PASSED
loginHelper = new authentication.Login_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 23:21:02,15-05-2026 23:21:02,0.001s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 23:21:02,15-05-2026 23:21:17,15.341s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 23:21:17,15-05-2026 23:21:18,0.414s,PASSED
,,,,,,,
Test Cases/Authentication/Register/TC_AUTH_016_Register_Valid_User,Edge Chromium 148.0.3967.54,Verify successful user registration with valid data,"positive,authentication,register",15-05-2026 23:21:18,15-05-2026 23:21:34,16.648s,PASSED
"openBrowser("""")",Edge Chromium 148.0.3967.54,,,15-05-2026 23:21:18,15-05-2026 23:21:19,1.169s,PASSED
registerHelper = new authentication.Register_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 23:21:19,15-05-2026 23:21:19,0.017s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 23:21:19,15-05-2026 23:21:34,14.962s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 23:21:34,15-05-2026 23:21:34,0.403s,PASSED
,,,,,,,
Test Cases/Authentication/Register/TC_AUTH_017_Register_Valid_Developer,Edge Chromium 148.0.3967.54,Verify successful developer registration with valid data,"developer,positive,authentication,register",15-05-2026 23:21:34,15-05-2026 23:21:48,13.423s,PASSED
"openBrowser("""")",Edge Chromium 148.0.3967.54,,,15-05-2026 23:21:34,15-05-2026 23:21:35,0.784s,PASSED
registerHelper = new authentication.Register_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 23:21:35,15-05-2026 23:21:35,0.001s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 23:21:35,15-05-2026 23:21:47,12.335s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 23:21:47,15-05-2026 23:21:48,0.256s,PASSED
,,,,,,,
Test Cases/Authentication/Register/TC_AUTH_018_Register_Duplicate_Email,Edge Chromium 148.0.3967.54,Verify registration fails with duplicate email,"negative,validation,authentication,register",15-05-2026 23:21:48,15-05-2026 23:22:16,28.696s,PASSED
"openBrowser("""")",Edge Chromium 148.0.3967.54,,,15-05-2026 23:21:48,15-05-2026 23:21:49,0.794s,PASSED
registerHelper = new authentication.Register_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 23:21:49,15-05-2026 23:21:49,0.002s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 23:21:49,15-05-2026 23:22:16,27.422s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 23:22:16,15-05-2026 23:22:16,0.420s,PASSED
,,,,,,,
Test Cases/Authentication/ForgotPassword/TC_AUTH_028_ForgotPassword_Valid_Email,Edge Chromium 148.0.3967.54,Verify reset link sent for valid email,"positive,forgot-password,authentication",15-05-2026 23:22:16,15-05-2026 23:22:37,20.749s,FAILED
"openBrowser("""")",Edge Chromium 148.0.3967.54,,,15-05-2026 23:22:16,15-05-2026 23:22:17,0.781s,PASSED
forgotPasswordHelper = new authentication.ForgotPassword_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 23:22:17,15-05-2026 23:22:17,0.008s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 23:22:17,15-05-2026 23:22:37,19.614s,FAILED
catch (Exception e),Edge Chromium 148.0.3967.54,,,15-05-2026 23:22:37,15-05-2026 23:22:37,0.009s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 23:22:37,15-05-2026 23:22:37,0.271s,PASSED
,,,,,,,
Test Cases/Authentication/ResetPassword/TC_AUTH_034_ResetPassword_Invalid_Token,Edge Chromium 148.0.3967.54,Verify password reset fails with invalid token,"negative,reset-password,authentication",15-05-2026 23:22:37,15-05-2026 23:22:51,13.962s,FAILED
"openBrowser("""")",Edge Chromium 148.0.3967.54,,,15-05-2026 23:22:37,15-05-2026 23:22:38,0.600s,PASSED
maximizeWindow(),Edge Chromium 148.0.3967.54,,,15-05-2026 23:22:38,15-05-2026 23:22:38,0.046s,PASSED
resetPasswordHelper = new authentication.ResetPassword_Keywords(),Edge Chromium 148.0.3967.54,,,15-05-2026 23:22:38,15-05-2026 23:22:38,0.010s,PASSED
try,Edge Chromium 148.0.3967.54,,,15-05-2026 23:22:38,15-05-2026 23:22:51,13.075s,PASSED
Finally,Edge Chromium 148.0.3967.54,,,15-05-2026 23:22:51,15-05-2026 23:22:51,0.194s,FAILED
