Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"navigateToUrl(""http://localhost:5173/write-review"")",Chrome 143.0.7499.170,,,09-01-2026 19:07:14,09-01-2026 19:07:14,0.193s,PASSED
delay(2),Chrome 143.0.7499.170,,,09-01-2026 19:07:14,09-01-2026 19:07:16,2.018s,PASSED
"reviewKW.fillReviewForm(""Test Reviewer Trigger"", ""694b6474061ba8a480628253"", 5, ""Testing notification trigger on review post"")",Chrome 143.0.7499.170,,,09-01-2026 19:07:16,09-01-2026 19:07:23,6.672s,PASSED
reviewKW.submitReview(),Chrome 143.0.7499.170,,,09-01-2026 19:07:23,09-01-2026 19:07:26,2.706s,PASSED
delay(3),Chrome 143.0.7499.170,,,09-01-2026 19:07:26,09-01-2026 19:07:29,3.020s,PASSED
notif.navigateToNotifications(),Chrome 143.0.7499.170,,,09-01-2026 19:07:29,09-01-2026 19:07:32,2.866s,PASSED
newCount = notif.getNotificationCount(),Chrome 143.0.7499.170,,,09-01-2026 19:07:32,09-01-2026 19:07:32,0.331s,PASSED
comment(After review post: $newCount),Chrome 143.0.7499.170,,,09-01-2026 19:07:32,09-01-2026 19:07:32,0.004s,PASSED
"verifyEqual(newCount, initialCount + 1, STOP_ON_FAILURE)",Chrome 143.0.7499.170,,,09-01-2026 19:07:32,09-01-2026 19:07:32,0.010s,PASSED
"comment(""Test PASSED: Notification created when review posted"")",Chrome 143.0.7499.170,,,09-01-2026 19:07:32,09-01-2026 19:07:32,0.003s,PASSED
try,Chrome 143.0.7499.170,,,09-01-2026 19:07:32,09-01-2026 19:07:36,4.238s,PASSED
closeBrowser(),Chrome 143.0.7499.170,,,09-01-2026 19:07:36,09-01-2026 19:07:36,0.289s,PASSED
,,,,,,,
Test Cases/Notification/Triggers/TC_NOTIF_TRIG_002_PropertySell,Chrome 143.0.7499.170,Verify notification is created when a property is listed for sale,,09-01-2026 19:07:36,09-01-2026 19:08:29,52.432s,PASSED
notif = new notification.NotificationHelper(),Chrome 143.0.7499.170,,,09-01-2026 19:07:37,09-01-2026 19:07:37,0.002s,PASSED
