Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"DATA BINDING - {""(Default) updat..."":""Updated project description with new information"",""(Default) proje..."":""507f1f77bcf86cd799439012""}",,,,,,,
"openBrowser("""")",Chrome 143.0.7499.170,,,09-01-2026 18:56:46,09-01-2026 18:56:47,1.441s,PASSED
devPropHelper = new developerproperties.DeveloperProperties_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:56:47,09-01-2026 18:56:47,0.001s,PASSED
loginHelper = new authentication.Login_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:56:47,09-01-2026 18:56:47,0.002s,PASSED
try,Chrome 143.0.7499.170,,,09-01-2026 18:56:47,09-01-2026 18:57:54,1m - 6.904s,FAILED
catch (Exception e),Chrome 143.0.7499.170,,,09-01-2026 18:57:54,09-01-2026 18:57:54,0.009s,PASSED
Finally,Chrome 143.0.7499.170,,,09-01-2026 18:57:54,09-01-2026 18:57:54,0.270s,PASSED
,,,,,,,
Test Cases/DeveloperProperties/Projects/TC_DEVPROP_039_Notification_On_Project_Creation,Chrome 143.0.7499.170,Verify notification is received when developer adds a new project,"developer-properties,projects,positive,notifications",09-01-2026 18:57:54,09-01-2026 18:58:32,37.697s,FAILED
"DATA BINDING - {""(Default) proje..."":""Notification Test Project""}",,,,,,,
"openBrowser("""")",Chrome 143.0.7499.170,,,09-01-2026 18:57:54,09-01-2026 18:57:56,1.443s,PASSED
devPropHelper = new developerproperties.DeveloperProperties_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:57:56,09-01-2026 18:57:56,0.002s,PASSED
loginHelper = new authentication.Login_Keywords(),Chrome 143.0.7499.170,,,09-01-2026 18:57:56,09-01-2026 18:57:56,0.002s,PASSED
try,Chrome 143.0.7499.170,,,09-01-2026 18:57:56,09-01-2026 18:58:32,35.918s,FAILED
catch (Exception e),Chrome 143.0.7499.170,,,09-01-2026 18:58:32,09-01-2026 18:58:32,0.008s,PASSED
